,District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
0,Senapati,high,low,low,medium,low,high,high,high,medium,low,low,high,medium,low,low,medium,low,medium,medium,low,medium,low,low,medium,medium,low,low,low,MN,Rural,North Eastern Zone
2,Tamenglong,medium,medium,low,medium,low,high,medium,high,low,low,low,high,low,low,low,medium,low,high,medium,medium,medium,low,low,low,low,low,low,low,MN,Rural,North Eastern Zone
4,Churachandpur,high,medium,low,medium,medium,high,high,high,medium,low,low,high,medium,low,medium,medium,low,medium,medium,low,medium,low,low,medium,low,low,low,low,MN,Rural,North Eastern Zone
6,Bishnupur,high,low,low,medium,medium,high,high,high,medium,low,low,high,high,medium,high,high,low,high,medium,medium,low,low,low,medium,medium,low,low,low,MN,Urban,North Eastern Zone
7,Bishnupur,high,low,low,medium,low,high,high,high,medium,low,low,high,high,medium,high,high,low,high,medium,low,low,low,low,medium,medium,low,low,low,MN,Rural,North Eastern Zone
9,Thoubal,high,medium,low,medium,medium,high,high,high,medium,low,low,high,high,medium,high,medium,low,medium,medium,medium,low,low,low,medium,medium,low,low,low,MN,Urban,North Eastern Zone
10,Thoubal,medium,low,low,medium,low,high,high,high,medium,low,low,high,high,medium,high,high,low,medium,medium,medium,medium,low,low,medium,low,low,low,low,MN,Rural,North Eastern Zone
12,Imphal West,high,medium,medium,medium,high,high,high,high,high,low,low,high,high,high,high,high,medium,medium,medium,medium,low,low,low,high,medium,low,low,low,MN,Urban,North Eastern Zone
13,Imphal West,high,medium,low,medium,medium,high,high,high,medium,low,low,high,high,medium,high,high,medium,medium,medium,medium,low,low,low,medium,medium,low,low,low,MN,Rural,North Eastern Zone
15,Imphal East,high,low,low,medium,high,high,high,high,high,low,low,high,high,medium,high,high,low,medium,low,low,low,low,low,high,medium,low,low,low,MN,Urban,North Eastern Zone
